id,isbn,title,isbn13,asin,kindle_asin,marketplace_id,country_code,publication_date,publisher,language_code,is_ebook,books_count,best_book_id,reviews_count,ratings_sum,ratings_count,text_reviews_count,original_publication_date,original_title,media_type,num_ratings_5,num_ratings_4,num_ratings_3,num_ratings_2,num_ratings_1,average_rating,num_pages,format,edition_information,ratings_count_global,text_reviews_count_global,authors,illustrator,contributor,editor,translator,narrator,to_read,read,currently_reading,genres
5001,0684804069,Code-Name Downfall: The Secret Plan to Invade Japan and Why Truman Dropped the Bomb,9780684804064,,,,ES,1995/7/1,Simon & Schuster,,false,5,5001,92,134,39,6,1995/1/1,Code-Name Downfall: The Secret Plan to Invade Japan-And Why Truman Dropped the Bomb,book,3,16,16,3,1,3.44,351,Hardcover,,29,5,"Norman Polmar,Thomas B. Allen",,,,,,37,3,1,"american-history,cultural,history,non-fiction,politics,war"
5501,0385485565,Echoes of an Autobiography,9780385485562,,,,ES,1997/12/29,Anchor,,false,18,5985359,4436,6796,1725,330,1994/1/1,أصداء السيرة الذاتية,book,606,592,375,121,31,3.94,144,Paperback,,58,13,"Naguib Mahfouz,Naguib Mahfouz",,,,Denys Johnson-Davies,,2278,13,94,"autobiography,biography,classics,cultural,essays,fiction,literature,non-fiction,novels,philosophy,short-stories"
6501,0739454706,La Dieta De Las 3 Horas,9780739454701,,,,ES,,,,false,14,2124,298,520,157,20,2005/3/28,The 3-Hour Diet: How Low-Carb Diets Make You Fat and Timing Makes You Thin,book,25,39,63,20,10,3.31,,,,0,0,Jorge Cruise,,,,,,95,9,12,"cookbooks,cooking,food,health,non-fiction,self-help"
7001,0060962976,Charting Your Goals: Personal Life-Goals Planner,9780060962975,,,,ES,,,,false,1,7001,14,5,1,0,1988/9/1,Charting Your Goals: Personal Life-Goals Planner,,1,0,0,0,0,5.00,,,,1,0,"Dan Dahl,Randolph Sykes",,,,,,8,1,,
7501,0349107866,Hitler's Willing Executioners: Ordinary Germans and the Holocaust,9780349107868,,,,ES,1997/3/3,Abacus,en-GB,false,29,784848,9154,15048,4089,206,1996/1/1,Hitler's Willing Executioners. Ordinary Germans and the Holocaust,book,1157,1351,974,330,277,3.68,634,Paperback,,80,6,Daniel Jonah Goldhagen,,,,,,4147,16,206,"academic,biography,college,crime,historical,history,non-fiction,politics,psychology,religion,school,sociology,war"
8001,0142402486,"Triss (Redwall, #15)",9780142402481,,,,ES,2004/9/9,Firebird,eng,false,29,8001,19175,44081,11071,141,2002/1/1,Triss,book,3752,3969,2804,487,59,3.98,389,Paperback,,10470,114,Brian Jacques,,,,,,4341,41,51,"action,adult,adventure,animals,childrens,classics,epic-fantasy,fantasy,fiction,high-fantasy,juvenile,middle-grade,novels,science-fiction-fantasy,teen,young-adult"
8501,0807011010,The Church and the Second Sex,9780807011010,,,,ES,1986/1/3,Beacon Press,eng,false,3,8501,437,471,124,5,1968/1/1,The Church and the Second Sex,book,33,49,29,10,3,3.80,231,Paperback,,124,5,Mary Daly,,,,,,251,8,2,"christianity,feminism,history,non-fiction,philosophy,religion,social,spirituality,theology"
9001,1413903371,Anne Freaks Volume 4,9781413903379,,,,ES,2006/12/26,ADV Manga,,false,3,9001,152,317,95,7,2006/4/1,"Anne Freaks, Vol. 4",,16,26,32,16,5,3.34,200,Paperback,,90,6,Yua Kotegawa,,,,,,22,4,,"comics,graphic-novels,horror,manga,romance,thriller"
9501,0349113009,Embrace,9780349113005,,,,ES,2001/2/1,"Little, Brown Book Group",eng,false,3,9501,187,270,72,6,,Embrace,book,20,26,18,4,4,3.75,726,Paperback,,69,6,Mark Behr,,,,,,92,5,,"fiction,gay,lgbt,literary-fiction,queer"
10001,0517198223,Kangaroo Notebook,9780517198223,,,,ES,1997/11/11,Random House Value Publishing,,false,12,748538,2671,3740,1045,109,1991/1/1,カンガルー・ノート [Kangarū nōto],book,209,369,313,126,28,3.58,,Hardcover,,13,0,Kōbō Abe,,,,,,1373,6,36,"adult-fiction,contemporary,cultural,fantasy,fiction,literature,magical-realism,novels,science-fiction"
10501,0880386142,"The Name of the Game (Greyhawk Adventures, #6)",9780880386142,,,,ES,1988/6/1,Random House TSR,eng,false,1,10501,309,363,114,4,1988/6/1,"The Name of the Game (Greyhawk Adventures, #6)",book,14,18,61,17,4,3.18,,Mass Market Paperback,,114,4,Rose Estes,,,,,,123,5,,"adventure,epic,fantasy,fiction,reference"
11001,0312325819,Dinner for Eight: 40 Great Dinner Party Menus for Friends and Family,9780312325817,,,,ES,2005/11/1,St. Martin's Press,,false,1,11001,25,4,2,0,2005/11/1,Dinner for Eight: 40 Great Dinner Party Menus for Friends and Family (New York Times),,0,0,1,0,1,2.00,304,Hardcover,,2,0,Denise Landis,,,,,,16,1,,"cookbooks,cooking,food"
11501,0449215822,Wanderings,9780449215821,,,,ES,1982/3/12,Fawcett,,false,13,11501,2097,3681,928,50,1978/1/1,Wanderings Chaim Potok's History Of The Jews,book,312,341,217,48,10,3.97,576,Mass Market Paperback,,858,41,Chaim Potok,,,,,,929,8,41,"anthropology,classics,faith,fiction,historical,history,modern-classics,non-fiction,religion,theology,unfinished"
12001,0140237518,"Raise High the Roof Beam, Carpenters and Seymour: an Introduction",9780140237511,,,,ES,1998/10/3,Hamish Hamilton,eng,false,96,5114,65202,179201,43546,1524,1955/1/1,"Raise High the Roof Beam, Carpenters / Seymour: An Introduction",book,17614,15725,8218,1588,401,4.12,134,Paperback,,245,20,J.D. Salinger,,,,,,15298,140,600,"adult,adult-fiction,american,americana,classics,collections,college,contemporary,family,fiction,literary-fiction,literature,modern-classics,novella,novels,short-stories,unfinished,young-adult"
12501,052594947X,"Life Laughs: The Naked Truth About Motherhood, Marriage, and Moving On",9780525949473,,,,ES,2006/4/25,Dutton Adult,,false,9,12501,5508,10834,2838,269,2006/1/1,"Life Laughs: The Naked Truth about Motherhood, Marriage, and Moving On",book,950,846,711,236,95,3.82,240,Hardcover,,2645,252,Jenny McCarthy,,,,,,2238,19,22,"adult,autobiography,biography,biography-memoir,chick-lit,comedy,family,funny,humor,marriage,memoir,non-fiction,parenting,relationships,self-help"
13001,0393976157,Othello  ,9780393976151,,,,ES,2003/12/5,W. W. Norton & Company,,false,1558,12996,425067,1093046,281445,5331,1603/1/1,"The Tragedy of Othello, The Moor of Venice",book,87071,101677,70241,17804,4652,3.88,432,Paperback,,411,23,William Shakespeare,,,Edward Pechter,,,84067,1781,5195,"adult,british-literature,classic-literature,classics,college,drama,english-literature,fiction,high-school,historical,historical-fiction,literary-fiction,literature,novels,plays,poetry,romance,school,theatre,tragedy"
13501,097640110X,"The Hedge Knight (The Hedge Knight Graphic Novels, #1)",9780976401100,,,,ES,2005/2/23,Dabel Brothers Publishing,eng,false,30,13501,35577,78736,19107,773,2005/1/1,The Hedge Knight,book,7050,8023,3440,480,114,4.12,164,Paperback,,14224,401,George R.R. Martin,,,,,,13679,103,373,"adult,adventure,american,comics,epic,epic-fantasy,fantasy,fiction,graphic-novels,graphic-novels-comics,high-fantasy,historical-fiction,marvel,medieval,novels,science-fiction-fantasy,short-stories,young-adult"
14001,1416509178,"Music to My Sorrow (Bedlam's Bard, #7)",9781416509172,,,,ES,2005/12/6,Baen Books,,false,4,14001,2493,5262,1317,13,2005/8/1,"Music to My Sorrow (Bedlam's Bard, #7)",book,470,461,308,66,12,4.00,340,Hardcover,,1216,11,"Mercedes Lackey,Rosemary Edghill",,,,,,789,14,7,"epic-fantasy,fairy-tales,fantasy,fiction,magic,music,novels,paranormal,science-fiction,urban-fantasy"
14501,0747266689,Neverwhere,9780747266686,,,,ES,2005/1/1,Headline Book Publishing (Review),eng,false,73,14497,705912,1529696,366358,19385,1996/9/16,Neverwhere,book,156960,136794,56654,11808,4142,4.18,372,Paperback,Author's Preferred Text edition,1039,103,Neil Gaiman,,,,,,284821,1198,12350,"adult,adult-fiction,adventure,angels,contemporary,dark,fantasy,fiction,horror,magic,magical-realism,mystery,novels,paranormal,science-fiction,science-fiction-fantasy,speculative-fiction,supernatural,unfinished,urban-fantasy,young-adult"
15001,0912083794,What Though the Odds: The Story of Notre Dame Tennis: The Story of Notre Dame Tennis,9780912083797,,,,ES,1994/9/1,,,false,1,15001,3,3,1,0,1994/9/1,What Though the Odds: The Story of Notre Dame Tennis: The Story of Notre Dame Tennis,,0,0,1,0,0,3.00,560,Leather Bound,,1,0,Thomas W. Fallon,,,,,,2,0,,
15501,034545328X,"Xanth: The Quest for Magic (Xanth, #1-3)",9780345453280,,,,ES,2002/10/29,Del Rey,en-US,false,9,15501,6363,20585,5073,29,1979/1/1,"The Magic of Xanth (Xanth, #1-3)",book,2042,1598,1168,214,51,4.06,784,Paperback,,4761,17,Piers Anthony,,,,,,846,7,11,"adult,comedy,fantasy,fiction,funny,high-fantasy,humor,magic,science-fiction,science-fiction-fantasy,young-adult"
16001,0743276353,Gringos in Paradise: An American Couple Builds Their Retirement Dream House in a Seaside Village in Mexico,9780743276351,,,,ES,2006/11/14,Scribner Book Company,,false,7,16001,548,952,259,46,2006/1/1,Gringos in Paradise: An American Couple Builds Their Retirement Dream House in a Seaside Village in Mexico,,56,91,87,22,3,3.68,325,Hardcover,,201,38,Barry Golson,,,,,,232,9,12,"adventure,biography,business,memoir,non-fiction,travel"
16501,0812590465,"Ariadne's Web (Book of the Gods, #2)",9780812590463,,,,ES,2001/1/15,Tor Fantasy,eng,false,4,16501,367,689,187,3,2000/1/1,Ariadne's Web,book,43,60,68,14,2,3.68,432,Mass Market Paperback,,169,3,Fred Saberhagen,,,,,,116,9,4,"fantasy,fiction,historical,historical-fiction,mythology,retellings,science-fiction,science-fiction-fantasy"
17001,0670915416,In the Shadow of No Towers,9780670915415,,,,ES,2004/1/1,Viking,en-GB,false,11,17001,6168,12414,3378,265,2004/1/1,In the Shadow of No Towers,book,811,1154,999,332,82,3.67,48,Hardcover,,2790,210,Art Spiegelman,,,,,,2088,23,11,"adult,american,american-history,americana,art,autobiography,biography,biography-memoir,classics,college,comedy,comics,contemporary,death,essays,fiction,graphic-novels,graphic-novels-comics,historical,historical-fiction,history,memoir,non-fiction,picture-books,politics,religion,school,war"
17501,0764221949,Spunky's Circus Adventure,9780764221941,,,,ES,1999/2/1,Bethany House Publishers,,false,2,17501,52,54,12,1,1999/1/1,Spunky's Circus Adventure (Bethany Backyard),,10,0,0,2,0,4.50,32,Hardcover,,12,1,"Janette Oke,Lorianne Wilkinson,Sue Wilkinson","Elizabeth Gatt,Holly Lennox",,,,,40,0,,
18001,0838816479,Explode the Code/Book Eight,9780838816479,,,,ES,,,,false,1,18001,21,22,6,0,1990/1/1,Explode the Code/Book Eight,,2,2,1,0,1,3.67,,,,6,0,"Nancy Hall,Rena Price",,,,,,10,0,1,school
18501,0393962997,Edmund Spenser's Poetry,9780393962994,,,,ES,1992/12/17,W. W. Norton & Company,,false,6,18501,965,2131,552,14,1599/1/1,"Edmund Spenser's Poetry: Authoritative Texts, Criticism (Norton Critical Editions)",book,192,168,131,45,16,3.86,864,Paperback,,516,9,"Edmund Spenser,Hugh  MacLean,Hugh Spenser",,,Anne Lake Prescott,,,272,9,11,"art,british-literature,classics,english-literature,fantasy,fiction,historical,literature,magic,poetry,reference,school"
19001,0743457927,A Perfect Spy,9780743457927,,,,ES,2002/12/31,Scribner Book Company,,false,1,19001,24407,57434,14372,592,1986/3/12,A Perfect Spy,book,4811,5744,2986,614,217,4.00,,Paperback,,12257,416,John le Carré,,,,,,7326,38,556,"action,adult,adult-fiction,adventure,british-literature,classics,contemporary,crime,fiction,historical-fiction,literary-fiction,literature,mystery,mystery-thriller,novels,suspense,thriller,unfinished"
19501,0143038419,"Eat, Pray, Love",9780143038412,,,,ES,2007/2/1,Riverhead Books,eng,false,211,19501,1943506,4707157,1331291,51826,2006/2/16,"Eat, Pray, Love",book,358311,368696,338307,159920,106057,3.54,368,Paperback,,1299352,47058,Elizabeth Gilbert,,,,,,521367,477,21861,"adult,adult-fiction,adventure,american,autobiography,biography,biography-memoir,chick-lit,contemporary,drama,fiction,food,humor,inspirational,love,memoir,movies,non-fiction,novels,philosophy,religion,romance,self-help,spirituality,travel,unfinished"
20001,1931520240,Interfictions: An Anthology of Interstitial Writing,9781931520249,,,,ES,2007/4/1,Small Beer Press,eng,false,4,20001,1328,853,227,21,2007/1/1,Interfictions: An Anthology of Interstitial Writing,book,71,66,61,22,7,3.76,291,Paperback,,221,20,"Adrián Ferrero,Anna Tambour,Catherynne M. Valente,Christopher Barzak,Colin Greenland,Csilla Kleinheincz,Holly Phillips,Jon Singer,Joy Marchand,K. Tempest Bradford,Karen Jordan Allen,Leslie What,Léa Silhol,Matthew Cheney,Michael J. DeLuca,Mikal Trimm,Rachel Pollack,Vandana Singh,Veronica Schanoes",,,"Delia Sherman,Theodora Goss",,,1026,13,5,"adult-fiction,anthologies,fantasy,fiction,magical-realism,reference,science-fiction,science-fiction-fantasy,short-stories,speculative-fiction"
20501,0821221841,"The Camera (Ansel Adams Photography, #1)",9780821221846,,,,ES,1995/6/1,"Little, Brown and Company",eng,false,11,20501,5701,13138,3111,70,1980/1/1,"The Camera (Ansel Adams Photography, #1)",book,1532,935,488,118,38,4.22,195,Paperback,,2999,65,"Ansel Adams,Robert Hardy Baker",,,,,,415,11,22,"american,art,non-fiction,reference"
21001,1892836297,Shop Drawings for Greene & Greene Furniture: 22 Projects for Every Room in the Home,9781892836298,,,,ES,2007/2/1,Fox Chapel Publishing,,false,3,21001,47,101,24,0,2006/10/28,Shop Drawings for Greene & Greene Furniture: 22 Projects for Every Room in the Home,,9,12,2,1,0,4.21,144,Paperback,,24,0,Robert W. Lang,,,,,,17,0,,non-fiction
21501,0517145995,Fugitive Nights,9780517145999,,,,ES,1995/5/9,Random House Value Publishing,,false,21,21501,871,1523,415,26,1992/1/1,Fugitive Nights,book,82,166,128,26,13,3.67,384,Hardcover,,311,19,Joseph Wambaugh,,,,,,208,9,15,"action,american,crime,fiction,humor,mystery,mystery-thriller,thriller"
22001,0375415408,The King in the Tree: Three Novellas,9780375415401,,,,ES,2003/2/18,Knopf,,false,8,22001,614,1203,319,28,2003/2/18,The King in the Tree: Three Novellas,book,70,139,84,19,7,3.77,256,Hardcover,,281,23,Steven Millhauser,,,,,,219,11,6,"american,collections,fantasy,fiction,literary-fiction,literature,music,novella,school,short-stories,speculative-fiction"
22501,,The Origins of the Second World War,,,,,ES,1996/1/15,Simon and Schuster ,eng,false,18,22501,2911,4630,1157,70,1961/1/1,The Origins of the Second World War,book,379,468,255,43,12,4.00,324,Paperback,,915,46,A.J.P. Taylor,,,,,,1398,19,70,"biography,france,historical,history,non-fiction,politics,reference,unfinished,war"
23001,0312423136,Galatea 2.2,9780312423131,,,,ES,2004/1/1,St. Martins Press-3PL,eng,false,18,23001,4693,8274,2218,205,1995/1/1,Galatea 2.2,book,552,845,553,207,61,3.73,336,Paperback,,2037,178,Richard Powers,,,,,,1904,21,74,"academic,adult-fiction,american,college,contemporary,fiction,literary-fiction,literature,novels,philosophy,science,science-fiction,speculative-fiction,technology,unfinished"
23501,0871292785,Rebel Without a Cause,9780871292780,,,,ES,,,,false,1,23501,4,5,2,0,1980/1/1,Rebel Without a Cause,book,0,0,1,1,0,2.50,,,,2,0,Jessica Tandy,,,,,,1,3,,"drama,fiction"
24001,8483101610,Soldados de Salamina,9788483101612,,,,ES,2001/9/1,Tusquets,spa,false,66,24001,9327,19461,5132,387,2001/6/7,Soldados de Salamina,book,1295,2049,1319,364,105,3.79,209,Paperback,,3783,196,Javier Cercas,,,,,,3122,79,179,"class,classics,contemporary,european-literature,fiction,historical,historical-fiction,history,literature,non-fiction,novels,politics,school,war"
24501,0674952901,Wild Beasts and Idle Humors: The Insanity Defense from Antiquity to the Present,9780674952904,,,,ES,1998/1/13,Harvard University Press,,false,2,2212879,34,10,3,1,1996/10/1,Wild Beasts and Idle Humors: The Insanity Defense from Antiquity to the Present,,1,0,1,1,0,3.33,312,Paperback,,1,0,Daniel N. Robinson,,,,,,29,1,,"history,non-fiction,psychology"
25001,0521465710,Victorian Masculinities: Manhood and Masculine Poetics in Early Victorian Literature and Art,9780521465717,,,,ES,1995/1/27,Cambridge University Press,,false,2,25001,32,42,12,1,1995/1/1,Victorian Masculinities: Manhood and Masculine Poetics in Early Victorian Literature and Art (Cambridge Studies in Nineteenth-Century Literature and Culture),,3,3,3,3,0,3.50,239,Hardcover,,10,1,Herbert L. Sussman,,,Gillian Beer,,,14,1,,"history,non-fiction,victorian"
25501,0517124084,Where the Bluebird Sings to the Lemonade Springs,9780517124086,,,,ES,1995/6/4,Random House Value Publishing,,false,5,10806,3824,6557,1603,132,1992/1/1,Where the Bluebird Sings to the Lemonade Springs: Living and Writing in the West ,book,568,670,316,40,9,4.09,256,Hardcover,,11,1,Wallace Stegner,,,,,,1913,5,49,"american,americana,biography,biography-memoir,classics,essays,fiction,history,literature,memoir,nature,non-fiction,poetry,short-stories,travel,writing"
26001,087822467X,What Every Teacher Should Know about Students with Special Needs: Promoting Success in the Classroom,9780878224678,,,,ES,2001/2/1,Research Press,,false,1,26001,6,3,1,0,2001/2/1,What Every Teacher Should Know About Students With Special Needs: Promoting Success in the Classroom,,0,0,1,0,0,3.00,140,Paperback,,1,0,"George A. Giuliani,Roger A. Pierangelo",,,,,,2,0,1,
26501,0195170571,More Weird and Wonderful Words,9780195170573,,,,ES,2003/10/2,"Oxford University Press, USA",,false,1,26501,76,55,15,2,2003/10/2,More Weird and Wonderful Words,,3,5,6,1,0,3.67,130,Hardcover,,15,2,,,,Erin McKean,,,39,1,1,"language,non-fiction,reference"
27001,0143034359,The Well of Lost Plots (Thursday Next #3),9780143034353,,,,ES,2004/8/3,Penguin Books,eng,false,16,27001,48958,141389,34519,1794,2004/2/23,The Well of Lost Plots,book,12166,14613,6785,797,158,4.10,388,Paperback,,30492,1391,Jasper Fforde,,,,,,7969,116,390,"adult,adult-fiction,adventure,british-literature,comedy,contemporary,crime,detective,fantasy,fiction,funny,humor,literary-fiction,literature,magical-realism,mystery,mystery-thriller,novels,science-fiction,science-fiction-fantasy,speculative-fiction,time-travel,urban-fantasy"
27501,0880977574,"Hagstrom Middlesex/Monmouth/O... Counties, NJ. Atlas (Middlesex County, Monmouth County, Ocean County, Nj Atlas) ",9780880977579,,,,ES,,,,false,1,27501,1,0,0,0,,,,0,0,0,0,0,0.00,,,,0,0,Hagstrom Map Company,,,,,,1,0,,
28001,0684831546,Accordion Crimes,9780684831541,,,,ES,1997/6/17,Scribner,eng,false,43,28001,10578,22051,6150,525,1996/1/1,Accordion Crimes,book,1316,2128,1811,631,264,3.59,432,Audiobook,,5496,441,Annie Proulx,,,,,,1346,28,65,"adult,adult-fiction,american,americana,contemporary,crime,drama,fiction,historical,historical-fiction,history,literary-fiction,literature,music,mystery,novels,relationships,short-stories,unfinished"
28501,0739426141,Counterfeit Unrealities,9780739426142,,,,ES,,,en-US,false,1,28501,481,633,149,8,2002/12/1,Counterfeit Unrealities,book,65,60,21,2,1,4.25,,,,149,8,Philip K. Dick,,,,,,274,11,5,"dystopia,fiction,novels,post-apocalyptic,science,science-fiction,short-stories,speculative-fiction"
29001,082941570X,Psalms II: Praying with Jesus,9780829415704,,,,ES,2003/9/1,Loyola Press,,false,1,29001,1,0,0,0,2003/9/1,Psalms II: Praying With Jesus (Six Weeks With the Bible),,0,0,0,0,0,0.00,80,Paperback,,0,0,Kevin Perrotta,,,,,,1,0,,
29501,0393327655,"The End of Faith: Religion, Terror, and the Future of Reason",9780393327656,,,,ES,2005/9/17,W. W. Norton  Company,en-US,false,32,29501,65972,117765,29905,1580,2004/1/1,"The End of Faith: Religion, Terror, and the Future of Reason",book,10829,10547,5585,1733,1211,3.94,348,Paperback,,27897,1447,Sam Harris,,,,,,11467,47,1374,"american,christianity,faith,fiction,history,non-fiction,philosophy,politics,psychology,religion,science,society,sociology,spirituality,theology,unfinished"
30001,0972589813,Lost Stories,9780972589819,,,,ES,2005/9/1,Vince Emery Productions,eng,false,1,30001,457,762,191,33,2005/9/1,Lost Stories (The Ace Performer Collection series),book,59,80,44,7,1,3.99,342,Hardcover,,191,33,Dashiell Hammett,,,Vince Emery,,,222,9,2,"american,anthologies,biography,biography-memoir,classics,crime,detective,fiction,mystery,short-stories,thriller"
30501,0333992121,Macmillan Essential Dictionary,9780333992128,,,,ES,,,,false,1,30501,9,22,5,0,,Macmillan Essential Dictionary: For Intermediate Learners,,4,0,0,1,0,4.40,,,,5,0,"Gwyneth Fox,Michael Rundell",,,,,,5,0,1,
31001,1933343141,"Diablo: The Bequest (Diablo, #8)",9781933343143,,,,ES,,"Stabenfeldt, Inc: Pony",en-US,false,5,31001,156,238,65,3,2004/6/15,"Das Vermächtnis (Diabolo, #8)",book,20,13,22,10,0,3.66,,,,58,3,Gabi Adam,,,,,,47,4,,"childrens,middle-grade"
31501,1406932167,The League of the Scarlet Pimpernel,9781406932164,,,,ES,,,eng,false,168,31501,3006,5202,1319,70,1919/1/1,The League of the Scarlet Pimpernel,book,435,472,331,65,16,3.94,200,Paperback,,937,46,Emmuska Orczy,,,,,,1278,17,91,"adventure,classics,fiction,france,historical,historical-fiction,history,literature,mystery,novels,romance,short-stories,thriller"
32001,1598166751,"Trinity Blood, Vol. 2",9781598166750,,,,ES,2007/3/1,TokyoPop,,false,9,32001,1274,3480,840,33,2004/7/17,トリニティ・ブラッド 2 [Toriniti Buraddo 2],book,363,276,163,34,4,4.14,,Paperback,,809,30,,,,,,,213,18,5,"action,comics,drama,fantasy,fiction,graphic-novels,horror,manga,paranormal,romance,science-fiction,steampunk,supernatural,vampires"
32501,0316734950,"Echo Park (Harry Bosch, #12; Harry Bosch Universe, #16)",9780316734950,,,,ES,2006/10/9,"Little, Brown & Company",eng,false,109,32501,61033,169202,41188,1700,2006/10/9,Echo Park,book,13695,19180,7507,680,126,4.11,405,Hardcover,,34055,1387,Michael Connelly,,,,,,7378,58,772,"adult,adult-fiction,crime,detective,fiction,murder-mystery,mystery,mystery-thriller,novels,suspense,thriller"
33001,0821775898,"Weekend Warriors (Sisterhood, #1)",9780821775899,,,,ES,2004/7/1,Kensington ,eng,false,39,33001,15805,31743,7844,657,2001/12/1,"Weekend Warriors (Sisterhood, #1)",book,3296,2440,1502,391,215,4.05,304,Paperback,,6478,538,Fern Michaels,,,,,,4768,34,882,"adult,adult-fiction,chick-lit,contemporary,crime,drama,fiction,humor,murder-mystery,mystery,mystery-thriller,romance,suspense,thriller,unfinished"
33501,1568821174,Song of Cthulhu: Tales of the Spheres Beyond Sound,9781568821177,,,,ES,2005/12/3,Chaosium,eng,false,1,33501,116,161,44,5,2001/7/1,Song of Cthulhu: Tales of Spheres Beyond Sound (Call of Cthulhu Fiction),book,9,15,17,2,1,3.66,211,Paperback,,44,5,"Brian McNaughton,Caitlín R. Kiernan,E.A. Lustig,Edward P. Berglund,Fred Chappel,H.P. Lovecraft,Ramsey Campbell,Thomas F. Montelone,William R. Trotter",,,Stephen Mark Rainey,,,54,4,,"anthologies,horror,short-stories,speculative-fiction"
