56,0912299622,The Woodsman and His Hatchet: Eighty Years on Back Country Survival,9780912299624,,,,ES,1996/10/1,Stoneydale Press,,false,1,56,36,37,10,1,1996/10/1,The Woodsman and His Hatchet: Eighty Years on Back Country Survival,book,4,1,3,2,0,3.70,150,Paperback,,10,1,Bud Cheff Sr.,,,,,,21,0,1,
61,0595321801,The Changeling,9780595321803,,,,ES,2004/6/8,iUniverse,eng,false,16,61,2867,5525,1327,121,1970/1/1,The Changeling,book,589,441,235,49,13,4.16,228,Paperback,Authors Guild Backinprint.com Edition,1152,92,Zilpha Keatley Snyder,,,,,,1205,15,22,"adventure,childrens,classics,fantasy,fiction,juvenile,magic,middle-grade,mystery,novels,realistic-fiction,spirituality,young-adult"
66,0449146979,"The Changeling (Daughters of England, #15)",9780449146972,,,,ES,1990/8/28,Ivy Books,eng,false,17,66,878,1690,423,19,1989/5/3,The Changeling,book,150,145,106,20,2,4.00,369,Mass Market Paperback,,337,12,Philippa Carr,,,,,,305,12,20,"adult,family,fiction,gothic,historical,historical-fiction,mystery,novels,politics,romance,science-fiction"
71,0273704745,"Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives",9780273704744,,,,ES,2006/5/15,FT Press,eng,false,11,71,4225,5932,1550,89,2006/4/20,"Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives",book,462,534,413,106,35,3.83,334,Paperback,,1386,78,Satyajit Das,,,,,,2364,15,97,"business,economics,history,non-fiction"
76,0374519749,Heirs of General Practice,9780374519742,,,,ES,1986/4/1,"Farrar, Straus and Giroux",eng,false,4,76,487,1099,264,16,1986/4/1,Heirs of General Practice,book,101,111,47,4,1,4.16,128,Paperback,1st THUS edition,251,16,John McPhee,,,,,,167,6,3,"american-history,biography,class,economics,health,history,medical,non-fiction,politics,science"
81,0374516006,Giving Good Weight,9780374516000,,,,ES,1994/4/1,"Farrar, Straus and Giroux",eng,false,6,81,1158,2382,565,38,1972/1/1,Giving Good Weight,book,231,241,80,10,3,4.22,288,Paperback,Reissue edition,528,34,John McPhee,,,,,,469,14,17,"anthropology,business,essays,food,history,literature,nature,non-fiction,self-help,short-stories,writing"
86,0679734996,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,9780679734994,,,,ES,1991/7/2,Vintage,eng,false,5,86,3957,10504,2738,65,1988/1/1,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,book,879,892,690,194,83,3.84,249,Paperback,,2727,63,Wendy Wasserstein,,,,,,1000,24,13,"adult,american,classics,college,drama,feminism,fiction,humor,plays,politics,theatre"
91,0800793617,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,9780800793616,,,,ES,2003/9/1,Chosen Books,eng,false,2,91,2058,4228,948,65,2001/7/2,Always Enough: Gods Miraculous Provision among the Poorest Children on Earth,book,593,233,95,19,8,4.46,192,Paperback,,814,53,"Heidi Baker,Rolland Baker",,,,,,956,12,44,"autobiography,biography,christian,christianity,faith,inspirational,memoir,non-fiction,religion,spirituality"
96,1852402873,There's Always Enough: The Miraculous Move of God in Mozambique,9781852402877,,,,ES,2003/4/28,Sovereign World,eng,false,2,91,2058,4228,948,65,2001/7/2,Always Enough: Gods Miraculous Provision among the Poorest Children on Earth,book,593,233,95,19,8,4.46,192,Paperback,,34,6,"Heidi Baker,Rolland Baker",,,,,,956,12,44,"autobiography,biography,christian,christianity,faith,inspirational,memoir,non-fiction,religion,spirituality"
101,1852428937,Chasing Jordan,9781852428938,,,,ES,2005/7/11,Serpent's Tail,,false,1,101,79,123,35,7,2005/8/1,Chasing Jordan,book,10,7,12,3,3,3.51,240,Paperback,High Risk Books Series,35,7,Heidi W. Boehringer,,,,,,37,0,1,"drama,fiction,teen"
106,0441172695,Dune Messiah (Dune Chronicles #2),9780441172696,,,,ES,1987/7/15,Ace Books,eng,false,163,106,148779,411755,106326,2851,1969/10/1,Dune Messiah ,book,29301,42570,27215,6085,1155,3.87,331,Mass Market Paperback,,95439,2261,Frank Herbert,,,,,,1897,110,2748,"adult,adult-fiction,adventure,american,classics,criticism,epic,fantasy,fiction,literature,novels,philosophy,politics,religion,science,science-fiction,science-fiction-fantasy,speculative-fiction"
111,8497597486,"Dios emperador de Dune (Dune Chronicles, #4)",9788497597487,,,,ES,,,spa,false,109,42432,85871,223746,58387,1265,1981/5/28,God Emperor of Dune,book,18213,19168,15157,4689,1160,3.83,,,,106,10,Frank Herbert,,,,Montserrat Conill,,15797,88,844,"adventure,american,classics,criticism,epic,fantasy,fiction,literature,novels,philosophy,politics,religion,science,science-fiction,science-fiction-fantasy,speculative-fiction"
116,0399129502,The Dune Encyclopedia,9780399129506,,,,ES,,Berkley,eng,false,9,870294,5809,15871,3877,45,1984/6/1,"The Dune Encyclopedia: The Complete, Authorized Guide and Companion to Frank Herbert's Masterpiece of the Imagination",book,1797,1050,724,208,98,4.09,,,,34,1,Willis Everett McNelly,,,,,,1704,9,21,"criticism,epic-fantasy,fantasy,fiction,non-fiction,reference,science,science-fiction,speculative-fiction"
121,0671797077,The Patriarch: The Rise and Fall of the Bingham Dynasty,9780671797072,,,,ES,1993/2/1,Touchstone,,false,4,983679,53,88,24,3,1991/3/1,The Patriarch: The Rise and Fall of the Bingham Dynasty,book,8,10,0,2,4,3.67,576,Paperback,,8,1,"Alex S. Jones,Susan E. Tifft",,,,,,21,0,1,"biography,business,history"
126,1876584858,"The Power of One (The Power of One, #1)",9781876584856,,,,ES,2004/1/28,Bolinda Publishing,eng,false,1,122,116947,305654,70337,4931,1989/1/1,The Power of One,book,38408,21422,7774,1871,862,4.35,,Audio Cassette,Unabridged,19,7,Bryce Courtenay,,,,,Humphrey Bower,36888,88,1642,"adult,adult-fiction,adventure,classics,contemporary,cultural,drama,fiction,high-school,historical,historical-fiction,history,inspirational,literary-fiction,literature,memoir,non-fiction,novels,realistic-fiction,school,sports,unfinished,war,young-adult"
131,0325001537,"The Power of One: The Solo Play for Playwrights, Actors, and Directors",9780325001531,,,,ES,2000/2/7,Heinemann Drama,eng,false,2,131,27,48,13,0,2000/2/7,,book,4,4,3,1,1,3.69,240,Paperback,,10,0,Louis E. Catron,,,,,,12,0,,"non-fiction,theatre"
136,1592574335,Titanium eBay: A Tactical Guide to Becoming a Millionaire PowerSeller,9781592574339,,,,ES,,Alpha Books,eng,false,5,136,54,112,29,3,2006/6/6,Titanium eBay: A Tactical Guide to Becoming a Millionaire PowerSeller,book,10,8,8,3,0,3.86,,,,19,2,Skip McGrath,,,,,,15,1,,"business,non-fiction"
141,0596523696,Ruby Cookbook,9780596523695,,,,ES,2006/7/29,O'Reilly Media,eng,false,22,141,451,680,178,6,2006/1/1,Ruby Cookbook,book,51,63,49,11,4,3.82,873,Paperback,,163,4,"Leonard Richardson,Lucas Carlson",,,,,,150,6,25,"american,non-fiction,reference,technology"
146,0809231530,Ruby's Low-Fat Soul Food Cookbook,9780809231539,,,,ES,1996/9/1,McGraw-Hill/Contemporary Books,,false,1,146,10,24,5,0,1996/9/1,Ruby's Low-Fat Soul Food Cookbook,book,4,1,0,0,0,4.80,175,Paperback,,5,0,Ruby Banks-Payne,,,,,,5,0,,
151,0143035002,Anna Karenina,9780143035008,,,,ES,2004/5/31,Penguin Classics,eng,false,534,15823480,76396,2239042,554582,20640,1877/4/1,Анна Каренина,book,225022,183952,100833,30850,13925,4.04,838,Paperback,Penguin Classics Deluxe Edition,15599,1784,Leo Tolstoy,,,,"Larissa Volokhonsky,Richard Pevear",,555470,2112,55661,"adult,adult-fiction,classic-literature,classics,drama,fiction,historical,historical-fiction,history,literary-fiction,literature,love,novels,romance,school,unfinished"
156,0486437965,Anna Karenina ,9780486437965,,,,ES,2004/11/23,Dover Publications,eng,false,534,15823480,76396,2239042,554582,20640,1877/4/1,Анна Каренина,book,225022,183952,100833,30850,13925,4.04,752,Paperback,Dover Giant Thrift Editions,458,69,Leo Tolstoy,,,,"Aylmer Maude,Louise Maude",,555470,2112,55661,"adult,adult-fiction,classic-literature,classics,drama,fiction,historical,historical-fiction,history,literary-fiction,literature,love,novels,romance,school,unfinished"
161,0399152989,The Dream Life of Sukhanov,9780399152986,,,,ES,,,en-US,false,24,138612,4071,4865,1255,184,2005/1/1,The Dream Life of Sukhanov,book,387,465,295,77,31,3.88,,,First Edition,62,15,Olga Grushin,,,,,,2505,19,38,"adult-fiction,american,art,college,contemporary,cultural,fiction,historical,historical-fiction,history,literary-fiction,literature,novels,politics"
166,0932863051,Dalit: The Black Untaouchables of India,9780932863058,,,,ES,1995/1/28,Clarity Press,eng,false,1,166,82,39,9,0,1987/1/1,Dalit: The Black Untouchables of India,book,6,2,0,0,1,4.33,100,Paperback,,9,0,V.T. Rajshekar,,Y.N. Kly,,,,61,0,2,
171,0205358624,The Evidence-Based Social Work Skills Book,9780205358625,,,,ES,2003/9/22,Pearson,eng,false,1,171,21,34,10,0,2003/9/22,The Evidence-Based Social Work Skills Book,book,4,1,1,3,1,3.40,216,Paperback,,10,0,Barry R. Cournoyer,,,,,,10,0,1,
176,1555031285,Little Known Evidences of the Book of Mormon,9781555031282,,,,ES,,Covenant Communications,eng,false,4,176,87,200,53,5,1988/1/1,Little Known Evidences of the Book of Mormon,book,19,15,10,6,3,3.77,,,,50,4,Brenton G. Yorgason,,,,,,25,1,,"non-fiction,religion"
181,0821925326,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),9780821925324,,,,ES,2002/5/1,EMC/Paradigm Publishing,eng,false,233,33574273,155953,3470373,864906,30989,1962/1/1,A Wrinkle in Time,book,350118,275546,164194,49969,25079,4.01,250,Hardcover,EMC Masterpiece Series Access Editions,37,7,Madeleine L'Engle,,,,,,381495,3565,18042,"adventure,chapter-books,childrens,classics,family,fantasy,fiction,juvenile,literature,magic,middle-grade,novels,school,science,science-fiction,science-fiction-fantasy,speculative-fiction,teen,time-travel,young-adult"
186,0349106029,Wrinkles in Time: Imprint of Creation,9780349106021,,,,ES,,,,false,12,180,2171,4314,1082,36,1994/1/1,Wrinkles in Time,book,410,347,242,67,16,3.99,,,,35,3,"George Smoot,Keay Davidson",,,,,,943,9,24,"biography,history,non-fiction,research,science"
191,0395783518,Literature Connections Sourcebook: A Wrinkle in Time and Related Readings,9780395783511,,,,ES,,,eng,false,1,191,2220,6133,1564,5,1997/1/1,Literature Connections Sourcebook: A Wrinkle in Time and Related Readings,book,633,453,278,122,78,3.92,,,,1564,5,McDougal Littell,,,,,,682,0,3,"classics,contemporary,fiction"
196,0901291668,The Silver Sword,9780901291660,,,,ES,,,eng,false,1,196,45,98,23,1,1999/1/1,The Silver Sword,book,13,6,2,1,1,4.26,,,,23,1,Laura Brierley,,,,,,10,0,,
201,0606105263,Una arruga en el tiempo – A Wrinkle in Time,9780606105262,,,,ES,1984/6/1,Turtleback Books,spa,false,233,33574273,155953,3470373,864906,30989,1962/1/1,A Wrinkle in Time,book,350118,275546,164194,49969,25079,4.01,205,,,6,1,Madeleine L'Engle,,,,,,381495,3565,18042,"adventure,chapter-books,childrens,classics,family,fantasy,fiction,juvenile,literature,magic,middle-grade,novels,school,science,science-fiction,science-fiction-fantasy,speculative-fiction,teen,time-travel,young-adult"
206,0742548686,Vicksburg's Long Shadow: The Civil War Legacy of Race and Remembrance,9780742548688,,,,ES,2005/8/31,Rowman & Littlefield Publishers,,false,1,206,30,43,12,3,2005/10/25,Vicksburg's Long Shadow: The Civil War Legacy of Race and Remembrance,book,3,3,4,2,0,3.58,344,Hardcover,,12,3,Christopher Waldrep,,,,,,15,1,,history
216,1400032466,Miami Blues (Hoke Mosely #1),9781400032464,,,,ES,2004/8/10,Vintage Crime/Black Lizard,eng,false,47,216,5804,12492,3170,220,1984/1/1,Miami Blues,book,975,1259,750,145,41,3.94,191,Paperback,,2702,154,Charles Willeford,,,,,,2196,11,56,"adventure,american,americana,classics,crime,detective,fiction,humor,movies,mystery,mystery-thriller,novels,suspense,thriller"
221,1400032474,Wild Wives,9781400032471,,,,ES,2009/9/9,Vintage Crime/Black Lizard,,false,16,221,728,1554,420,55,1956/1/1,Wild Wives,book,77,172,142,26,3,3.70,102,Paperback,,327,42,Charles Willeford,,,,,,236,13,18,"crime,fiction,mystery,mystery-thriller,novels,thriller"
226,0896724409,Comedy after Postmodernism: Rereading Comedy from Edward Lear to Charles Willeford,9780896724402,,,,ES,2001/1/15,Texas Tech University Press,,false,2,226,18,29,7,0,2001/1/1,Comedy After Postmodernism: Rereading Comedy from Edward Lear to Charles Willeford,,5,0,1,0,1,4.14,184,Hardcover,,7,0,Kirby Olson,,,,,,9,0,,
231,0312424442,I am Charlotte Simmons,9780312424442,,,,ES,2005/8/30,Picador USA,eng,false,55,231,32553,78524,23003,1996,2004/12/9,I am Charlotte Simmons,book,4123,7387,6920,3028,1545,3.41,738,Paperback,,20451,1685,Tom Wolfe,,,,,,5989,45,413,"adult,adult-fiction,american,americana,college,contemporary,drama,education,fiction,literary-fiction,literature,novels,realistic-fiction,relationships,romance,school,unfinished,young-adult"
236,089190090X,The Complete Nonsense of Edward Lear,9780891900900,,,,ES,1940/6/1,Amereon Limited,,false,62,236,1820,2928,723,79,1939/1/1,,book,302,231,130,44,16,4.05,287,Hardcover,,372,34,Edward Lear,,,,,,694,24,89,"art,childrens,classics,comedy,fairy-tales,fantasy,fiction,funny,humor,juvenile,poetry,short-stories"
241,0439660564,A Was Once an Apple Pie,9780439660563,,,,ES,2005/9/1,Orchard Books,,false,8,241,393,672,199,62,1992/1/1,A Was Once An Apple Pie,book,36,52,69,35,7,3.38,32,Hardcover,,180,58,Edward Lear,,,,,,82,12,2,"animals,childrens,fiction,picture-books,poetry,school"
246,0811201090,The Colossus of Maroussi,9780811201094,,,,ES,1975/1/17,New Directions,,false,64,246,6737,11914,2991,255,1941/1/1,The Colossus of Maroussi,book,1109,1028,605,193,56,3.98,244,Paperback,,2451,193,Henry Miller,,,,,,2919,9,246,"american,americana,art,autobiography,biography,biography-memoir,classics,english-literature,essays,fiction,history,literature,memoir,modern,modern-classics,non-fiction,novels,philosophy,romance,travel,unfinished"
251,0802151787,"Nexus (The Rosy Crucifixion, #3)",9780802151780,,,,ES,1994/1/13,Grove Press,eng,false,65,251,7375,14013,3424,78,1959/1/1,Nexus,book,1301,1305,670,130,18,4.09,316,Paperback,,3168,52,Henry Miller,,,,,,3154,9,49,"adult,american,americana,autobiography,biography,classics,english-literature,erotica,fiction,france,literary-fiction,literature,memoir,non-fiction,novels,philosophy,romance"
256,0029119405,Behavior in Public Places,9780029119402,,,,ES,1966/9/1,Free Press,,false,16,256,980,884,215,6,1963/5/1,Behavior in Public Places,book,72,103,35,2,3,4.11,248,Paperback,,197,5,Erving Goffman,,,,,,643,9,28,"academic,anthropology,non-fiction,psychology,science,social,society,sociology"
261,0687495679,Just in Time! Pastoral Prayers in Public Places,9780687495672,,,,ES,2006/3/1,Abingdon Press,,false,5,261,11,19,5,0,2006/3/1,Pastoral Prayers in Public Places (Just in Time!),,2,1,1,1,0,3.80,80,Paperback,,5,0,F. Belton Joyner Jr.,,,,,,4,0,,
266,1423310764,The Portrait of a Lady (The Classic Collection),9781423310761,,,,ES,2006/6/25,Brilliance Audio,,false,680,264,145192,245566,65120,2449,1881/1/1,The Portrait of a Lady,book,18734,22291,16662,5313,2120,3.77,,Audio CD,,24,2,Henry James,,,,,,68613,438,3004,"adult,adult-fiction,american,british-literature,classic-literature,classics,college,english-literature,fiction,historical,historical-fiction,literary-fiction,literature,novels,romance,school,unfinished,victorian"
271,0521345081,New Essays on 'the Portrait of a Lady',9780521345088,,,,ES,2014/1/13,Cambridge University Press,,false,5,271,11,12,3,0,1990/1/1,New Essays on The Portrait of a Lady (The American Novel),,2,0,0,1,0,4.00,178,Hardcover,,3,0,,,,"Emory Elliot,Joel Porte",,,4,0,,
276,082883637X,Hiroshima Mon Amour,9780828836371,,,,ES,,,fre,false,44,53044,7562,13537,3459,185,1959/1/1,Hiroshima mon amour,book,1116,1287,765,223,68,3.91,,,,6,0,Marguerite Duras,,,,,,3163,28,55,"adult-fiction,classics,college,contemporary,drama,fiction,film,france,historical-fiction,literature,love,modern-classics,novels,plays,romance,school,theatre,war"
281,080215154X,"Destroy, She Said",9780802151544,,,,ES,1986/1/1,Grove Press,eng,false,25,281,1775,2661,722,62,1969/1/1,"Détruire, dit-elle; la destruction la parole",book,171,260,206,63,22,3.69,133,Paperback,,520,40,Marguerite Duras,,,,"Barbara Bray,Helen Lane Cumberford",,821,10,18,"classics,fiction,france,literary-fiction,literature,novels,plays,romance,travel"
286,0679440674,The Prophet,9780679440673,,,,ES,1995/2/21,Knopf,,false,1002,2547,131902,811753,191863,7714,1923/1/1,The Prophet,book,97659,54974,28330,7672,3228,4.23,128,Hardcover,Kahlil Gibran Pocket Library Series,781,47,Kahlil Gibran,,,,,,126692,207,17806,"adult,classic-literature,classics,essays,faith,fiction,inspirational,literature,love,non-fiction,novels,personal-development,philosophy,poetry,psychology,religion,self-help,short-stories,spirituality,theology,unfinished"
291,0806501901,The Broken Wings,9780806501901,,,,ES,2003/3/3,Citadel,eng,false,168,291,34512,58337,14865,1751,1912/1/1,الأجنحة المتكسرة,book,5130,5070,3399,944,322,3.92,132,Paperback,,6135,489,"Kahlil Gibran,جبران خليل جبران",,,,,,14001,11,710,"autobiography,classics,drama,fantasy,fiction,inspirational,literature,love,non-fiction,novels,philosophy,poetry,religion,romance,spirituality"
296,1402714572,Treasure Island,9781402714573,,,,ES,2004/10/1,Sterling,en-US,false,3488,295,552204,1346930,351885,9497,1882/1/28,Treasure Island,book,97583,130128,96417,21495,6262,3.83,213,Hardcover,,393,40,Robert Louis Stevenson,Scott McKowen,,,,,131262,720,19260,"action,adventure,british-literature,childrens,classic-literature,classics,english-literature,fantasy,fiction,historical,historical-fiction,history,juvenile,literary-fiction,literature,middle-grade,novels,school,thriller,victorian,young-adult"
301,0786180412,Treasure Island,9780786180417,,,,ES,2005/3/1,Blackstone Audiobooks,eng,false,3488,295,552204,1346930,351885,9497,1882/1/28,Treasure Island,book,97583,130128,96417,21495,6262,3.83,,Audio CD,Unabridged,38,6,Robert Louis Stevenson,,,,,Frederick Davidson,131262,720,19260,"action,adventure,british-literature,childrens,classic-literature,classics,english-literature,fantasy,fiction,historical,historical-fiction,history,juvenile,literary-fiction,literature,middle-grade,novels,school,thriller,victorian,young-adult"
306,0521460646,Daniel Deronda Notebooks,9780521460644,,,,ES,1996/12/28,Cambridge University Press,,false,4,306,24,17,4,0,1996/11/21,Daniel Deronda Notebooks,book,3,0,0,1,0,4.25,524,Hardcover,,2,0,George Eliot,,,Jane Irwin,,,16,0,,
311,0534638104,Essential Jazz: The First 100 Years (with CD-ROM),9780534638108,,,,ES,,,,false,10,3282802,42,83,19,0,2004/7/5,Essential Jazz: The First 100 Years,,10,6,3,0,0,4.37,,,,4,0,"Henry  Martin,Keith Waters",,,,,,15,1,3,"art,criticism,history,music"
321,0822009641,Cliffs Notes on Garcia Marquez' 100 Hundred Years of Solitude,0785555010963,,,,ES,,,eng,false,4,321,129,225,54,8,1984/2/15,One Hundred Years of Solitude [Cliffs Notes Study] (Notes),book,25,21,3,2,3,4.17,,,,48,8,Carl Senna,,,,,,45,0,7,"reference,school"
326,006502396X,One Hundred Years of Solitude,9780065023961,,,,ES,1998/3/21,Addison Wesley Publishing Company,eng,false,649,320,1272190,2644681,651625,25566,1967/6/5,Cien años de soledad,book,307230,175747,97739,41417,29492,4.06,,Hardcover,,92,9,Gabriel García Márquez,,,,,,524186,1825,27523,"adult,adult-fiction,classic-literature,classics,contemporary,drama,family,fantasy,fiction,historical,historical-fiction,literary-fiction,literature,magical-realism,modern-classics,novels,romance,school,unfinished"
331,1581171048,Ziggy the Zebra,9781581171044,,,,ES,2000/2/1,Piggy Toes Press,,false,1,331,22,48,12,0,2000/1/1,Ziggy the Zebra: A One-Of-A-Kind Pop-Up Book,,4,4,4,0,0,4.00,14,Hardcover,,12,0,Libby Ellis,,,,,,5,0,,
336,0716727188,Why Zebras Don't Get Ulcers,9780716727187,,,,ES,1995/3/1,W.H. Freeman & Company,,false,33,327,26253,28184,6773,577,1993/1/1,"Why Zebras Don’t Get Ulcers: A Guide to Stress, Stress Related Diseases, and Coping",book,2873,2499,1085,252,64,4.16,367,Paperback,,56,7,"Robert M. Sapolksy,Robert M. Sapolksy",,,,,,16383,57,1837,"academic,animals,anthropology,business,fiction,health,medical,mental-health,nature,non-fiction,personal-development,philosophy,psychology,reference,school,science,self-help,unfinished"
341,1597140201,Perfume Dreams: Reflections on the Vietnamese Diaspora,9781597140201,,,,ES,2005/10/21,Heyday Books,eng,false,1,341,626,812,205,30,2005/10/31,Perfume Dreams: Reflections on the Vietnamese Diaspora,book,66,79,47,12,1,3.96,,Paperback,,205,30,Andrew Lam,,,,,,367,5,12,"autobiography,biography,collections,contemporary,essays,history,literature,memoir,non-fiction,poetry,politics"
346,1902463153,The Perfume Guide,9781902463155,,,,ES,,,,false,2,346,46,69,17,2,2000/8/26,The Perfume Guide,,7,5,4,1,0,4.06,,,,17,2,Susan Irvine,,,,,,23,0,,"health,non-fiction"
351,1416505504,"Starman Jones (Heinlein's Juveniles, #7)",9781416505501,,,,ES,,,eng,false,8,351,10197,27294,7119,263,1953/1/1,Starman Jones,book,1778,2755,2241,316,29,3.83,,,,6368,180,Robert A. Heinlein,,,,,,1700,29,51,"adventure,american,classics,fantasy,fiction,juvenile,novels,science,science-fiction,science-fiction-fantasy,speculative-fiction,teen,young-adult"
356,0765314932,"Time for the Stars (Heinlein's Juveniles, #10)",9780765314932,,,,ES,2006/8/8,Tor Books,eng,false,1,356,11135,30434,7677,297,1956/8/1,Time for the Stars,book,2337,3032,2031,251,26,3.96,256,Hardcover,,6683,185,Robert A. Heinlein,,,,,,2047,13,102,"adult,adventure,american,classics,criticism,fantasy,fiction,juvenile,magic,science,science-fiction,science-fiction-fantasy,social,speculative-fiction,time-travel,young-adult"
361,,"Life, the Universe and Everything (Hitchhiker's Guide, #3)",9780345391827,,,,ES,1995/9/27,Del Rey,eng,false,161,8694,247414,736498,175254,2890,1982/12/29,"Life, the Universe and Everything",book,77207,62607,30002,4591,847,4.20,232,Paperback,,2918,121,Douglas Adams,,,,,,41982,369,2588,"adult,adult-fiction,adventure,aliens,british-literature,classics,comedy,fantasy,fiction,funny,humor,literature,novels,science,science-fiction,science-fiction-fantasy,speculative-fiction,time-travel,young-adult"
366,0881502642,Velvet: A Novel of Suspense,9780881502640,,,,ES,1993/6/1,Foul Play Press,,false,2,20489,20,18,7,3,1993/1/1,Velvet,book,1,0,2,3,1,2.57,221,Hardcover,,4,0,"Alec Kalla,M.J. Sullivan",,,,,,10,0,,mystery
